"chromosomeName"	"start"	"end"	"readsL"	"readsR"	"isNonBlind"	"leftFragEndValid"	"rightFragEndValid"
10	69972914	69973636	221	229	TRUE	TRUE	TRUE
10	69973641	69973681	0	0	FALSE	TRUE	FALSE
10	69973686	69973761	261	1328	TRUE	FALSE	FALSE
10	69973766	69974092	0	0	TRUE	TRUE	TRUE
10	69974097	69974457	548	553	TRUE	TRUE	FALSE
10	69974462	69974502	266	267	FALSE	TRUE	FALSE
10	69974507	69974729	262	266	FALSE	FALSE	TRUE
10	69974734	69975023	122	226	FALSE	TRUE	TRUE
10	69975028	69975095	368	369	FALSE	TRUE	TRUE
10	69975100	69975206	424	426	FALSE	TRUE	TRUE
10	69975211	69975217	428	428	FALSE	FALSE	FALSE
10	69975222	69975378	196	199	TRUE	TRUE	TRUE
10	69975383	69975568	369	372	TRUE	FALSE	TRUE
10	69975573	69975690	0	0	FALSE	TRUE	TRUE
10	69975695	69975818	229	231	FALSE	TRUE	TRUE
10	69975823	69976065	1110	93	TRUE	TRUE	TRUE
10	69976070	69976105	402	403	FALSE	TRUE	TRUE
10	69976110	69976317	436	441	FALSE	TRUE	TRUE
10	69976322	69976934	168	182	TRUE	TRUE	TRUE
10	69976939	69977482	0	1	TRUE	TRUE	TRUE
10	69977487	69977519	443	443	TRUE	FALSE	FALSE
10	69977524	69977682	191	322	TRUE	FALSE	FALSE
10	69977687	69977689	70	70	FALSE	FALSE	FALSE
10	69977694	69977710	128	129	FALSE	FALSE	FALSE
10	69977715	69977747	59	60	FALSE	TRUE	TRUE
10	69977752	69977866	356	359	FALSE	TRUE	TRUE
10	69977871	69978098	213	617	TRUE	FALSE	TRUE
10	69978103	69978985	0	0	TRUE	TRUE	TRUE
10	69978990	69979339	24	36	FALSE	TRUE	TRUE
10	69979344	69979546	266	385	FALSE	TRUE	TRUE
10	69979551	69979743	1112	209	FALSE	TRUE	TRUE
10	69979748	69980601	279	856	TRUE	TRUE	FALSE
10	69980606	69980820	821	1006	TRUE	FALSE	TRUE
10	69980825	69980969	827	844	FALSE	TRUE	TRUE
10	69980974	69981051	1243	1072	FALSE	TRUE	TRUE
10	69981056	69981158	1378	1550	FALSE	TRUE	TRUE
10	69981163	69981261	1862	2081	FALSE	TRUE	TRUE
